pickup_dayofweek,trip_count,fare_amount,total_amount,trip_distance,day_name
0,4881158,20.56597967652615,146227095.19,3.7751161778511744,Mon
1,5557811,19.581143969992624,159329769.88,3.312577295528954,Tue
2,5850349,19.633289739669276,168051423.47,3.2662440421572665,Wed
3,6138025,20.0029485835222,178811082.43,3.3393474541577377,Thu
4,5806726,19.55052975832486,165820824.49,3.3647122466879043,Fri
5,5951421,18.881156190497755,159157154.22,3.2144361337612977,Sat
6,5027017,20.589234156726558,146561454.45,3.8496590808367173,Sun
