pickup_hour,trip_count,fare_amount,trip_distance,tip_amount,speed_mph
0,1131673,20.23409048509555,3.919957004921985,3.190468960799887,14.145673280557927
1,731480,18.23108326078444,3.449808802350437,2.840837915736371,13.930964912642361
2,474427,16.88954369171939,3.160747293427905,2.612471559129147,13.974705408934435
3,309371,18.000451076943662,3.4992565491826118,2.651296810557753,15.152049758619357
4,225080,23.539828716101553,4.986242805899272,3.0656152886445494,18.19746077861183
5,246487,27.409935921738228,6.121650748986831,3.7646350843532423,19.545694428558487
6,554923,22.680408105241284,4.840519344022462,3.1312344446563265,16.156184521196973
7,1082004,19.670489962487824,3.741972985853692,3.02413627018775,12.864584394254962
8,1495614,18.881991248089133,3.2292483225646413,3.0157505623806617,10.877153651259846
9,1637547,18.769475591834812,3.138665142181432,3.1577631895481715,10.550341589818752
10,1755134,19.05360426721798,3.163486959346203,3.274522082583029,10.278648896050258
11,1906906,19.305393079569438,3.1367834281818108,3.301269607568541,9.739846888189016
12,2083170,19.739797666837692,3.224841457932516,3.3463025163576128,9.66230851023063
13,2165817,20.463158478319,3.408333901094222,3.471044348174583,9.693686037477503
14,2323623,21.23617212730075,3.5546244547956625,3.6000253501865984,9.458493220859362
15,2400595,21.229157099081693,3.508537128979158,3.5833613778212396,9.211136079227403
16,2426141,21.290407975470075,3.5307090191977415,3.8449927060946205,9.325557348146377
17,2660308,19.85882619212124,3.1795382513891854,3.595004872803351,9.20554346341765
18,2791875,18.60815881370969,3.006808659459079,3.430967806195246,9.66584243532163
19,2465072,18.696925100959955,3.200758084933627,3.426763863089447,10.689772117168227
20,2257699,18.967898757008623,3.4074367795440152,3.4057087377011825,11.701106498275507
21,2304984,19.029134919360704,3.4583392576168834,3.4227225662038356,12.161212706569591
22,2131794,19.716844041683164,3.6216405912131866,3.3879106920735254,12.567311417394157
23,1650783,20.83539837834831,3.9963680577788243,3.378734611718215,13.586172292157677
