month,trip_count,total_revenue,avg_fare,avg_distance,avg_duration,avg_tip_pct,avg_speed,total_tips,month_name
1,2836874,77616433.16,18.50467370070014,3.296721077495863,14.968384155705657,20.67260467285784,11.537464503128716,9662055.85,Jan
2,2866510,78137429.58999999,18.432579684005983,3.225274658033637,15.366888783456771,20.471301813007003,11.172783721043041,9707445.629999999,Feb
3,3398906,94781094.53,19.175300449615257,3.368545852694955,16.124145318130793,19.045305483488338,11.200854886312769,11170832.84,Mar
4,3373782,95194906.00999999,19.476743867861053,3.402780870251842,16.46178553722005,18.825294659070902,11.110687390766104,11092270.260000002,Apr
5,3576039,103812602.71000001,20.168312649834075,3.4380041129305354,17.50386246719718,18.758297369453693,10.663732682833041,12089066.379999999,May
6,3391658,97379701.62,19.96521097646048,3.432620644534325,17.02636615091105,18.588322134338085,10.912198775486557,11242385.010000002,Jun
7,2944057,85376510.9,20.168117186589797,3.5990037421150474,16.659616503122507,18.615246823239072,11.410237751164331,9813076.93,Jul
8,2840244,83048105.53999999,20.3816577484188,3.6722248229377477,16.776766866978097,18.545942064915675,11.508971109803657,9489842.34,Aug
9,3453015,101885664.28999999,20.667355884639942,3.5431230996679717,18.201328742176525,18.24725904273835,10.569540917955424,11753816.35,Sep
10,3645466,107160983.87,20.365723021418937,3.485131892603031,17.786764275586897,19.094415131325867,10.517260127199954,12848466.77,Oct
11,3480414,99200141.12,19.75300468564947,3.343512671193714,17.283677856523198,19.143749911992483,10.481092324037217,11835093.54,Nov
12,3405542,100365230.78999999,20.465327742250714,3.330263432369943,18.281278197909955,19.52713826748434,10.089624380885018,12143250.66,Dec
